fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
fly_156	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	902
fly_156	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	561
fly_157	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	58
fly_157	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	248
fly_158	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	167
fly_158	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	247
fly_159	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	680
fly_159	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	208
fly_160	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	2030
fly_160	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1343
fly_161	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	982
fly_161	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	395
fly_162	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	363
fly_162	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	578
fly_163	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1560
fly_163	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	246
fly_164	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1024
fly_164	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	760
fly_165	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	621
fly_165	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	657
fly_166	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	225
fly_166	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1069
fly_167	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	301
fly_167	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	638
fly_168	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	575
fly_168	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	138
fly_169	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	507
fly_169	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1151
fly_170	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1053
fly_170	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	398
fly_171	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	363
fly_171	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	100
fly_172	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1066
fly_172	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	523
fly_173	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	134
fly_173	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	143
fly_174	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	209
fly_174	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	320
fly_175	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	216
fly_175	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	23
fly_176	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	336
fly_176	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	146
fly_177	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1785
fly_177	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	372
fly_178	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	2423
fly_178	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	500
fly_179	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	27
fly_179	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	56
fly_180	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	192
fly_180	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	76
fly_181	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	571
fly_181	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1019
