date	fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
2021-09-15	fly_80	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	747
2021-09-15	fly_81	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	73
2021-09-15	fly_81	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	684
2021-09-15	fly_82	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	38
2021-09-15	fly_82	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	200
2021-09-29	fly_83	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	15
2021-09-29	fly_83	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	264
2021-09-29	fly_84	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	166
2021-09-29	fly_84	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	147
2021-09-29	fly_85	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	31
2021-09-29	fly_85	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	297
2021-09-29	fly_86	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	24
2021-09-29	fly_86	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	439
2021-09-29	fly_87	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	25
2021-09-29	fly_87	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	1326
2021-09-29	fly_88	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	26
2021-09-29	fly_88	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	444
2021-09-29	fly_89	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	15
2021-09-29	fly_89	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	256
2021-09-29	fly_90	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	612
2021-09-29	fly_90	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	243
2021-09-29	fly_91	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	257
2021-09-29	fly_91	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	608
2021-09-29	fly_92	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	36
2021-09-29	fly_92	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	309
2021-09-29	fly_93	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	18
2021-09-29	fly_93	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	437
NA	fly_94	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	11
NA	fly_94	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	165
NA	fly_95	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	40
NA	fly_95	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	342
NA	fly_96	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	169
NA	fly_96	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	135
NA	fly_97	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	400
NA	fly_97	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	104
NA	fly_98	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	78
NA	fly_98	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	99
NA	fly_99	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	31
NA	fly_99	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	42
NA	fly_100	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	21
NA	fly_100	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	235
NA	fly_101	D. simulans	04	female	noni juice vs grape juice	noni_juice	50
NA	fly_101	D. simulans	04	female	noni juice vs grape juice	grape_juice	596
NA	fly_102	D. simulans	04	female	noni juice vs grape juice	noni_juice	10
NA	fly_102	D. simulans	04	female	noni juice vs grape juice	grape_juice	310
NA	fly_103	D. simulans	04	female	noni juice vs grape juice	noni_juice	146
NA	fly_103	D. simulans	04	female	noni juice vs grape juice	grape_juice	731
NA	fly_104	D. simulans	04	female	noni juice vs grape juice	noni_juice	24
NA	fly_104	D. simulans	04	female	noni juice vs grape juice	grape_juice	596
NA	fly_105	D. simulans	04	female	noni juice vs grape juice	noni_juice	85
