fly_id	species	genotype	sex	stimulation	ROI_quantified	stimulus	dff
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	no stimulus	-0.02415782715346505
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	sucrose 200mM	0.01237882881532031
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	denatonium benzoate 10mM	0.05986719423771945
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	grape juice	0.03679052655124505
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	water	-0.00749278911538233
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	noni juice	-0.01990260213522627
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	no stimulus	-0.15889258849233945
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	sucrose 200mM	0.04148779190527332
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	denatonium benzoate 10mM	0.10365588154201268
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	grape juice	0.06227735264894694
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	water	0.00175184669624924
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	noni juice	0.01013255044772648
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	no stimulus	-0.15123290269719944
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	sucrose 200mM	0.05917153729321139
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	denatonium benzoate 10mM	0.05474722733101985
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	grape juice	0.0342264668055377
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	water	0.01535108098888629
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	noni juice	0.06497742592308167
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	no stimulus	-0.1471485589467081
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	sucrose 200mM	0.09742371614551508
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	denatonium benzoate 10mM	0.12758951589518747
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	grape juice	0.08219150469827537
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	water	0.01924207203064321
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	noni juice	0.05419811079110047
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	no stimulus	-0.18694171226935663
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	sucrose 200mM	0.12376703916497005
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	denatonium benzoate 10mM	0.1249512451414112
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	grape juice	0.13616204015525687
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	water	0.46295157215445737
